time,r_LVLH_C_x,r_LVLH_C_y,r_LVLH_C_z,roll,pitch,yaw
44.06,0.764284483791748,-0.01323005594421395,0.0,29.999999999999996,20.0,10.0
44.07,0.7641183458088043,-0.013224746333219767,0.0,29.999999999999996,20.0,10.0
44.08,0.7639522082394863,-0.013219432962858943,0.0,29.999999999999996,20.0,10.0
44.09,0.7637860710838149,-0.013214115833140836,0.0,29.999999999999996,20.0,10.0
44.1,0.7636199343418117,-0.013208794944074814,0.0,29.999999999999996,20.0,10.0
44.11,0.7634537980134979,-0.013203470295670226,0.0,29.999999999999996,20.0,10.0
44.12,0.7632876620988949,-0.013198141887936443,0.0,29.999999999999996,20.0,10.0
44.13,0.7631215265980235,-0.013192809720882815,0.0,29.999999999999996,20.0,10.0
44.14,0.7629553915109053,-0.013187473794518715,0.0,29.999999999999996,20.0,10.0
44.15,0.7627892568375617,-0.013182134108853497,0.0,29.999999999999996,20.0,10.0
44.160000000000004,0.7626231225780136,-0.013176790663896529,0.0,29.999999999999996,20.0,10.0
44.17,0.7624569887322825,-0.013171443459657175,0.0,29.999999999999996,20.0,10.0
44.18,0.7622908553003898,-0.01316609249614479,0.0,29.999999999999996,20.0,10.0
44.19,0.7621247222823564,-0.01316073777336875,0.0,29.999999999999996,20.0,10.0
44.2,0.7619585896782037,-0.013155379291338407,0.0,29.999999999999996,20.0,10.0
44.21,0.7617924574879532,-0.013150017050063138,0.0,29.999999999999996,20.0,10.0
44.22,0.761626325711626,-0.013144651049552305,0.0,29.999999999999996,20.0,10.0
44.230000000000004,0.7614601943492432,-0.013139281289815265,0.0,29.999999999999996,20.0,10.0
44.24,0.7612940634008263,-0.0131339077708614,0.0,29.999999999999996,20.0,10.0
44.25,0.7611279328663964,-0.013128530492700066,0.0,29.999999999999996,20.0,10.0
44.26,0.7609618027459748,-0.013123149455340636,0.0,29.999999999999996,20.0,10.0
44.27,0.7607956730395828,-0.01311776465879247,0.0,29.999999999999996,20.0,10.0
44.28,0.7606295437472419,-0.013112376103064946,0.0,29.999999999999996,20.0,10.0
44.29,0.760463414868973,-0.013106983788167431,0.0,29.999999999999996,20.0,10.0
44.300000000000004,0.7602972864047974,-0.013101587714109287,0.0,29.999999999999996,20.0,10.0
44.31,0.7601311583547367,-0.013096187880899893,0.0,29.999999999999996,20.0,10.0
44.32,0.7599650307188116,-0.013090784288548617,0.0,29.999999999999996,20.0,10.0
44.33,0.7597989034970439,-0.013085376937064831,0.0,29.999999999999996,20.0,10.0
44.34,0.7596327766894546,-0.0130799658264579,0.0,29.999999999999996,20.0,10.0
44.35,0.7594666502960651,-0.013074550956737199,0.0,29.999999999999996,20.0,10.0
44.36,0.7593005243168967,-0.013069132327912108,0.0,29.999999999999996,20.0,10.0
44.37,0.7591343987519703,-0.013063709939991987,0.0,29.999999999999996,20.0,10.0
44.38,0.7589682736013074,-0.013058283792986217,0.0,29.999999999999996,20.0,10.0
